selector,classifier,k,feature,fold_selection_count
baseline,xgboost,68,ACK Flag Count,3
baseline,xgboost,68,Active Max,3
baseline,xgboost,68,Active Mean,3
baseline,xgboost,68,Active Min,3
baseline,xgboost,68,Active Std,3
baseline,xgboost,68,Average Packet Size,3
baseline,xgboost,68,Avg Bwd Segment Size,3
baseline,xgboost,68,Avg Fwd Segment Size,3
baseline,xgboost,68,Bwd Header Length,3
baseline,xgboost,68,Bwd IAT Max,3
baseline,xgboost,68,Bwd IAT Mean,3
baseline,xgboost,68,Bwd IAT Min,3
baseline,xgboost,68,Bwd IAT Std,3
baseline,xgboost,68,Bwd IAT Total,3
baseline,xgboost,68,Bwd Packet Length Max,3
baseline,xgboost,68,Bwd Packet Length Mean,3
baseline,xgboost,68,Bwd Packet Length Min,3
baseline,xgboost,68,Bwd Packet Length Std,3
baseline,xgboost,68,Bwd Packets/s,3
baseline,xgboost,68,Destination Port,3
baseline,xgboost,68,Down/Up Ratio,3
baseline,xgboost,68,FIN Flag Count,3
baseline,xgboost,68,Flow Bytes/s,3
baseline,xgboost,68,Flow Duration,3
baseline,xgboost,68,Flow IAT Max,3
baseline,xgboost,68,Flow IAT Mean,3
baseline,xgboost,68,Flow IAT Min,3
baseline,xgboost,68,Flow IAT Std,3
baseline,xgboost,68,Flow Packets/s,3
baseline,xgboost,68,Fwd Header Length,3
baseline,xgboost,68,Fwd Header Length.1,3
baseline,xgboost,68,Fwd IAT Max,3
baseline,xgboost,68,Fwd IAT Mean,3
baseline,xgboost,68,Fwd IAT Min,3
baseline,xgboost,68,Fwd IAT Std,3
baseline,xgboost,68,Fwd IAT Total,3
baseline,xgboost,68,Fwd PSH Flags,3
baseline,xgboost,68,Fwd Packet Length Max,3
baseline,xgboost,68,Fwd Packet Length Mean,3
baseline,xgboost,68,Fwd Packet Length Min,3
baseline,xgboost,68,Fwd Packet Length Std,3
baseline,xgboost,68,Fwd Packets/s,3
baseline,xgboost,68,Idle Max,3
baseline,xgboost,68,Idle Mean,3
baseline,xgboost,68,Idle Min,3
baseline,xgboost,68,Idle Std,3
baseline,xgboost,68,Init_Win_bytes_backward,3
baseline,xgboost,68,Init_Win_bytes_forward,3
baseline,xgboost,68,Max Packet Length,3
baseline,xgboost,68,Min Packet Length,3
baseline,xgboost,68,PSH Flag Count,3
baseline,xgboost,68,Packet Length Mean,3
baseline,xgboost,68,Packet Length Std,3
baseline,xgboost,68,Packet Length Variance,3
baseline,xgboost,68,Protocol,3
baseline,xgboost,68,SYN Flag Count,3
baseline,xgboost,68,Source Port,3
baseline,xgboost,68,Subflow Bwd Bytes,3
baseline,xgboost,68,Subflow Bwd Packets,3
baseline,xgboost,68,Subflow Fwd Bytes,3
baseline,xgboost,68,Subflow Fwd Packets,3
baseline,xgboost,68,Total Backward Packets,3
baseline,xgboost,68,Total Fwd Packets,3
baseline,xgboost,68,Total Length of Bwd Packets,3
baseline,xgboost,68,Total Length of Fwd Packets,3
baseline,xgboost,68,URG Flag Count,3
baseline,xgboost,68,act_data_pkt_fwd,3
baseline,xgboost,68,min_seg_size_forward,3
f_classif,xgboost,20,ACK Flag Count,3
f_classif,xgboost,20,Bwd Packet Length Min,3
f_classif,xgboost,20,Flow IAT Mean,3
f_classif,xgboost,20,Flow IAT Min,3
f_classif,xgboost,20,Flow Packets/s,3
f_classif,xgboost,20,Fwd Packets/s,3
f_classif,xgboost,20,Min Packet Length,3
f_classif,xgboost,20,URG Flag Count,3
f_classif,xgboost,20,Avg Fwd Segment Size,2
f_classif,xgboost,20,Bwd IAT Max,2
f_classif,xgboost,20,Bwd IAT Std,2
f_classif,xgboost,20,Fwd IAT Min,2
f_classif,xgboost,20,Fwd Packet Length Max,2
f_classif,xgboost,20,Fwd Packet Length Mean,2
f_classif,xgboost,20,Fwd Packet Length Min,2
f_classif,xgboost,20,Init_Win_bytes_forward,2
f_classif,xgboost,20,PSH Flag Count,2
f_classif,xgboost,20,Protocol,2
f_classif,xgboost,20,Active Min,1
