selector,k,feature,fold_selection_count
backward_elimination,5,MinorImageVersion,3
backward_elimination,5,SectionsMaxEntropy,3
backward_elimination,5,VersionInformationSize,3
backward_elimination,5,SizeOfStackReserve,2
backward_elimination,5,DllCharacteristics,1
backward_elimination,5,MajorOperatingSystemVersion,1
backward_elimination,5,ResourcesMinSize,1
backward_elimination,5,SectionsMinEntropy,1
backward_elimination,10,MinorImageVersion,3
backward_elimination,10,ResourcesMinEntropy,3
backward_elimination,10,SectionsMaxEntropy,3
backward_elimination,10,SectionsMinEntropy,3
backward_elimination,10,SizeOfStackReserve,3
backward_elimination,10,VersionInformationSize,3
backward_elimination,10,DllCharacteristics,2
backward_elimination,10,ResourcesMinSize,2
backward_elimination,10,SectionsMinRawsize,2
backward_elimination,10,BaseOfData,1
backward_elimination,10,CheckSum,1
backward_elimination,10,ImportsNb,1
backward_elimination,10,MajorOperatingSystemVersion,1
backward_elimination,10,ResourcesMaxEntropy,1
backward_elimination,10,SizeOfCode,1
backward_elimination,20,BaseOfData,3
backward_elimination,20,Characteristics,3
backward_elimination,20,CheckSum,3
backward_elimination,20,DllCharacteristics,3
backward_elimination,20,ImageBase,3
backward_elimination,20,MinorImageVersion,3
backward_elimination,20,ResourcesMaxEntropy,3
backward_elimination,20,ResourcesMinEntropy,3
backward_elimination,20,ResourcesMinSize,3
backward_elimination,20,ResourcesNb,3
backward_elimination,20,SectionsMaxEntropy,3
backward_elimination,20,SectionsMinEntropy,3
backward_elimination,20,SectionsMinRawsize,3
backward_elimination,20,SectionsMinVirtualsize,3
backward_elimination,20,SizeOfCode,3
backward_elimination,20,SizeOfStackReserve,3
backward_elimination,20,VersionInformationSize,3
backward_elimination,20,ImportsNb,2
backward_elimination,20,ResourcesMaxSize,2
backward_elimination,20,SizeOfInitializedData,2
backward_elimination,20,MajorOperatingSystemVersion,1
backward_elimination,20,ResourcesMeanSize,1
backward_elimination,20,SectionMaxVirtualsize,1
chi2,5,CheckSum,3
chi2,5,ImageBase,3
chi2,5,SectionMaxRawsize,3
chi2,5,SizeOfStackReserve,3
chi2,5,SizeOfCode,2
chi2,5,SectionsMinRawsize,1
chi2,10,BaseOfCode,3
chi2,10,CheckSum,3
