selector,classifier,k,feature,fold_selection_count
baseline,logistic,54,AddressOfEntryPoint,3
baseline,logistic,54,BaseOfCode,3
baseline,logistic,54,BaseOfData,3
baseline,logistic,54,Characteristics,3
baseline,logistic,54,CheckSum,3
baseline,logistic,54,DllCharacteristics,3
baseline,logistic,54,ExportNb,3
baseline,logistic,54,FileAlignment,3
baseline,logistic,54,ImageBase,3
baseline,logistic,54,ImportsNb,3
baseline,logistic,54,ImportsNbDLL,3
baseline,logistic,54,ImportsNbOrdinal,3
baseline,logistic,54,LoadConfigurationSize,3
baseline,logistic,54,LoaderFlags,3
baseline,logistic,54,Machine,3
baseline,logistic,54,MajorImageVersion,3
baseline,logistic,54,MajorLinkerVersion,3
baseline,logistic,54,MajorOperatingSystemVersion,3
baseline,logistic,54,MajorSubsystemVersion,3
baseline,logistic,54,MinorImageVersion,3
baseline,logistic,54,MinorLinkerVersion,3
baseline,logistic,54,MinorOperatingSystemVersion,3
baseline,logistic,54,MinorSubsystemVersion,3
baseline,logistic,54,NumberOfRvaAndSizes,3
baseline,logistic,54,ResourcesMaxEntropy,3
baseline,logistic,54,ResourcesMaxSize,3
baseline,logistic,54,ResourcesMeanEntropy,3
baseline,logistic,54,ResourcesMeanSize,3
baseline,logistic,54,ResourcesMinEntropy,3
baseline,logistic,54,ResourcesMinSize,3
baseline,logistic,54,ResourcesNb,3
baseline,logistic,54,SectionAlignment,3
baseline,logistic,54,SectionMaxRawsize,3
baseline,logistic,54,SectionMaxVirtualsize,3
baseline,logistic,54,SectionsMaxEntropy,3
baseline,logistic,54,SectionsMeanEntropy,3
baseline,logistic,54,SectionsMeanRawsize,3
baseline,logistic,54,SectionsMeanVirtualsize,3
baseline,logistic,54,SectionsMinEntropy,3
baseline,logistic,54,SectionsMinRawsize,3
baseline,logistic,54,SectionsMinVirtualsize,3
baseline,logistic,54,SectionsNb,3
baseline,logistic,54,SizeOfCode,3
baseline,logistic,54,SizeOfHeaders,3
baseline,logistic,54,SizeOfHeapCommit,3
baseline,logistic,54,SizeOfHeapReserve,3
baseline,logistic,54,SizeOfImage,3
baseline,logistic,54,SizeOfInitializedData,3
baseline,logistic,54,SizeOfOptionalHeader,3
baseline,logistic,54,SizeOfStackCommit,3
baseline,logistic,54,SizeOfStackReserve,3
baseline,logistic,54,SizeOfUninitializedData,3
baseline,logistic,54,Subsystem,3
baseline,logistic,54,VersionInformationSize,3
baseline,random_forest,54,AddressOfEntryPoint,3
baseline,random_forest,54,BaseOfCode,3
baseline,random_forest,54,BaseOfData,3
baseline,random_forest,54,Characteristics,3
baseline,random_forest,54,CheckSum,3
baseline,random_forest,54,DllCharacteristics,3
baseline,random_forest,54,ExportNb,3
baseline,random_forest,54,FileAlignment,3
baseline,random_forest,54,ImageBase,3
baseline,random_forest,54,ImportsNb,3
baseline,random_forest,54,ImportsNbDLL,3
baseline,random_forest,54,ImportsNbOrdinal,3
baseline,random_forest,54,LoadConfigurationSize,3
baseline,random_forest,54,LoaderFlags,3
baseline,random_forest,54,Machine,3
baseline,random_forest,54,MajorImageVersion,3
baseline,random_forest,54,MajorLinkerVersion,3
baseline,random_forest,54,MajorOperatingSystemVersion,3
baseline,random_forest,54,MajorSubsystemVersion,3
baseline,random_forest,54,MinorImageVersion,3
baseline,random_forest,54,MinorLinkerVersion,3
baseline,random_forest,54,MinorOperatingSystemVersion,3
baseline,random_forest,54,MinorSubsystemVersion,3
baseline,random_forest,54,NumberOfRvaAndSizes,3
baseline,random_forest,54,ResourcesMaxEntropy,3
baseline,random_forest,54,ResourcesMaxSize,3
baseline,random_forest,54,ResourcesMeanEntropy,3
baseline,random_forest,54,ResourcesMeanSize,3
baseline,random_forest,54,ResourcesMinEntropy,3
baseline,random_forest,54,ResourcesMinSize,3
baseline,random_forest,54,ResourcesNb,3
baseline,random_forest,54,SectionAlignment,3
baseline,random_forest,54,SectionMaxRawsize,3
baseline,random_forest,54,SectionMaxVirtualsize,3
baseline,random_forest,54,SectionsMaxEntropy,3
baseline,random_forest,54,SectionsMeanEntropy,3
baseline,random_forest,54,SectionsMeanRawsize,3
baseline,random_forest,54,SectionsMeanVirtualsize,3
baseline,random_forest,54,SectionsMinEntropy,3
baseline,random_forest,54,SectionsMinRawsize,3
baseline,random_forest,54,SectionsMinVirtualsize,3
baseline,random_forest,54,SectionsNb,3
baseline,random_forest,54,SizeOfCode,3
baseline,random_forest,54,SizeOfHeaders,3
baseline,random_forest,54,SizeOfHeapCommit,3
baseline,random_forest,54,SizeOfHeapReserve,3
baseline,random_forest,54,SizeOfImage,3
baseline,random_forest,54,SizeOfInitializedData,3
baseline,random_forest,54,SizeOfOptionalHeader,3
baseline,random_forest,54,SizeOfStackCommit,3
baseline,random_forest,54,SizeOfStackReserve,3
baseline,random_forest,54,SizeOfUninitializedData,3
baseline,random_forest,54,Subsystem,3
baseline,random_forest,54,VersionInformationSize,3
f_classif,logistic,10,DllCharacteristics,3
f_classif,logistic,10,ImageBase,3
f_classif,logistic,10,Machine,3
f_classif,logistic,10,MajorOperatingSystemVersion,3
f_classif,logistic,10,ResourcesMaxEntropy,3
f_classif,logistic,10,SectionsMaxEntropy,3
f_classif,logistic,10,SizeOfOptionalHeader,3
f_classif,logistic,10,SizeOfStackReserve,3
f_classif,logistic,10,Subsystem,3
f_classif,logistic,10,VersionInformationSize,2
f_classif,logistic,10,MajorSubsystemVersion,1
f_classif,logistic,20,Characteristics,3
f_classif,logistic,20,CheckSum,3
f_classif,logistic,20,DllCharacteristics,3
f_classif,logistic,20,ImageBase,3
f_classif,logistic,20,ImportsNbOrdinal,3
f_classif,logistic,20,Machine,3
f_classif,logistic,20,MajorOperatingSystemVersion,3
f_classif,logistic,20,MajorSubsystemVersion,3
f_classif,logistic,20,MinorSubsystemVersion,3
f_classif,logistic,20,ResourcesMaxEntropy,3
f_classif,logistic,20,ResourcesMeanEntropy,3
f_classif,logistic,20,ResourcesMinEntropy,3
f_classif,logistic,20,SectionsMaxEntropy,3
f_classif,logistic,20,SectionsMeanEntropy,3
f_classif,logistic,20,SectionsNb,3
f_classif,logistic,20,SizeOfOptionalHeader,3
f_classif,logistic,20,SizeOfStackReserve,3
f_classif,logistic,20,Subsystem,3
f_classif,logistic,20,VersionInformationSize,3
f_classif,logistic,20,SizeOfHeapReserve,2
f_classif,logistic,20,MinorOperatingSystemVersion,1
f_classif,random_forest,10,DllCharacteristics,3
f_classif,random_forest,10,ImageBase,3
f_classif,random_forest,10,Machine,3
f_classif,random_forest,10,MajorOperatingSystemVersion,3
f_classif,random_forest,10,ResourcesMaxEntropy,3
f_classif,random_forest,10,SectionsMaxEntropy,3
f_classif,random_forest,10,SizeOfOptionalHeader,3
f_classif,random_forest,10,SizeOfStackReserve,3
f_classif,random_forest,10,Subsystem,3
f_classif,random_forest,10,VersionInformationSize,2
f_classif,random_forest,10,MajorSubsystemVersion,1
f_classif,random_forest,20,Characteristics,3
f_classif,random_forest,20,CheckSum,3
f_classif,random_forest,20,DllCharacteristics,3
f_classif,random_forest,20,ImageBase,3
f_classif,random_forest,20,ImportsNbOrdinal,3
f_classif,random_forest,20,Machine,3
f_classif,random_forest,20,MajorOperatingSystemVersion,3
f_classif,random_forest,20,MajorSubsystemVersion,3
f_classif,random_forest,20,MinorSubsystemVersion,3
f_classif,random_forest,20,ResourcesMaxEntropy,3
f_classif,random_forest,20,ResourcesMeanEntropy,3
f_classif,random_forest,20,ResourcesMinEntropy,3
f_classif,random_forest,20,SectionsMaxEntropy,3
f_classif,random_forest,20,SectionsMeanEntropy,3
f_classif,random_forest,20,SectionsNb,3
f_classif,random_forest,20,SizeOfOptionalHeader,3
f_classif,random_forest,20,SizeOfStackReserve,3
f_classif,random_forest,20,Subsystem,3
f_classif,random_forest,20,VersionInformationSize,3
f_classif,random_forest,20,SizeOfHeapReserve,2
f_classif,random_forest,20,MinorOperatingSystemVersion,1
l1,logistic,10,BaseOfCode,3
l1,logistic,10,SectionsMaxEntropy,3
l1,logistic,10,SizeOfStackReserve,3
l1,logistic,10,Subsystem,3
l1,logistic,10,VersionInformationSize,3
l1,logistic,10,Machine,2
l1,logistic,10,SectionsMeanEntropy,2
l1,logistic,10,SizeOfImage,2
l1,logistic,10,SizeOfOptionalHeader,2
l1,logistic,10,ExportNb,1
l1,logistic,10,MajorOperatingSystemVersion,1
l1,logistic,10,MinorImageVersion,1
l1,logistic,10,ResourcesMaxSize,1
l1,logistic,10,ResourcesNb,1
l1,logistic,10,SectionsMinRawsize,1
l1,logistic,10,SizeOfInitializedData,1
l1,logistic,20,BaseOfCode,3
l1,logistic,20,DllCharacteristics,3
l1,logistic,20,Machine,3
l1,logistic,20,MajorOperatingSystemVersion,3
l1,logistic,20,SectionsMaxEntropy,3
l1,logistic,20,SectionsMeanEntropy,3
l1,logistic,20,SectionsMinEntropy,3
l1,logistic,20,SizeOfImage,3
l1,logistic,20,SizeOfOptionalHeader,3
l1,logistic,20,SizeOfStackReserve,3
l1,logistic,20,Subsystem,3
l1,logistic,20,VersionInformationSize,3
l1,logistic,20,Characteristics,2
l1,logistic,20,ExportNb,2
l1,logistic,20,ImportsNbDLL,2
l1,logistic,20,ResourcesMaxSize,2
l1,logistic,20,ResourcesNb,2
l1,logistic,20,SectionAlignment,2
l1,logistic,20,SectionsMeanVirtualsize,2
l1,logistic,20,SizeOfInitializedData,2
l1,logistic,20,SizeOfUninitializedData,2
l1,logistic,20,BaseOfData,1
l1,logistic,20,CheckSum,1
l1,logistic,20,MinorImageVersion,1
l1,logistic,20,SectionsMinRawsize,1
l1,logistic,20,SectionsNb,1
l1,logistic,20,SizeOfHeaders,1
l1,random_forest,10,BaseOfCode,3
l1,random_forest,10,SectionsMaxEntropy,3
l1,random_forest,10,SizeOfStackReserve,3
l1,random_forest,10,Subsystem,3
l1,random_forest,10,VersionInformationSize,3
l1,random_forest,10,Machine,2
l1,random_forest,10,SectionsMeanEntropy,2
l1,random_forest,10,SizeOfImage,2
l1,random_forest,10,SizeOfOptionalHeader,2
l1,random_forest,10,ExportNb,1
l1,random_forest,10,MajorOperatingSystemVersion,1
l1,random_forest,10,MinorImageVersion,1
l1,random_forest,10,ResourcesMaxSize,1
l1,random_forest,10,ResourcesNb,1
l1,random_forest,10,SectionsMinRawsize,1
l1,random_forest,10,SizeOfInitializedData,1
l1,random_forest,20,BaseOfCode,3
l1,random_forest,20,DllCharacteristics,3
l1,random_forest,20,Machine,3
l1,random_forest,20,MajorOperatingSystemVersion,3
l1,random_forest,20,SectionsMaxEntropy,3
l1,random_forest,20,SectionsMeanEntropy,3
l1,random_forest,20,SectionsMinEntropy,3
l1,random_forest,20,SizeOfImage,3
l1,random_forest,20,SizeOfOptionalHeader,3
l1,random_forest,20,SizeOfStackReserve,3
l1,random_forest,20,Subsystem,3
l1,random_forest,20,VersionInformationSize,3
l1,random_forest,20,Characteristics,2
l1,random_forest,20,ExportNb,2
l1,random_forest,20,ImportsNbDLL,2
l1,random_forest,20,ResourcesMaxSize,2
l1,random_forest,20,ResourcesNb,2
l1,random_forest,20,SectionAlignment,2
l1,random_forest,20,SectionsMeanVirtualsize,2
l1,random_forest,20,SizeOfInitializedData,2
l1,random_forest,20,SizeOfUninitializedData,2
l1,random_forest,20,BaseOfData,1
l1,random_forest,20,CheckSum,1
l1,random_forest,20,MinorImageVersion,1
